,precision,recall,f1-score,support
apple fruit,0.6,0.9,0.72,10.0
banana fruit,1.0,1.0,1.0,14.0
cherry fruit,0.875,0.7,0.7777777777777778,10.0
chickoo fruit,0.75,0.6666666666666666,0.7058823529411765,9.0
grapes fruit,1.0,0.9166666666666666,0.9565217391304348,12.0
kiwi fruit,1.0,0.9285714285714286,0.9629629629629629,14.0
mango fruit,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
orange fruit,0.9090909090909091,1.0,0.9523809523809523,10.0
strawberry fruit,1.0,0.9333333333333333,0.9655172413793104,15.0
accuracy,0.8796296296296297,0.8796296296296297,0.8796296296296297,0.8796296296296297
macro avg,0.879978354978355,0.87010582010582,0.8696397013652111,108.0
weighted avg,0.8943602693602694,0.8796296296296297,0.8823799023129097,108.0
