,precision,recall,f1-score,support
apple fruit,0.6923076923076923,0.9,0.782608695652174,10.0
banana fruit,0.9333333333333333,1.0,0.9655172413793104,14.0
cherry fruit,0.7272727272727273,0.8,0.7619047619047619,10.0
chickoo fruit,0.875,0.7777777777777778,0.8235294117647058,9.0
grapes fruit,1.0,0.8333333333333334,0.9090909090909091,12.0
kiwi fruit,1.0,0.9285714285714286,0.9629629629629629,14.0
mango fruit,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
orange fruit,1.0,1.0,1.0,10.0
strawberry fruit,1.0,0.9333333333333333,0.9655172413793104,15.0
accuracy,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074
macro avg,0.9062761312761312,0.9001763668430335,0.8999669614117293,108.0
weighted avg,0.9179395450228783,0.9074074074074074,0.9096988117780008,108.0
