,precision,recall,f1-score,support
apple fruit,0.35714285714285715,0.5,0.4166666666666667,10.0
banana fruit,1.0,0.07142857142857142,0.13333333333333333,14.0
cherry fruit,0.3103448275862069,0.9,0.46153846153846156,10.0
chickoo fruit,0.11764705882352941,0.2222222222222222,0.15384615384615385,9.0
grapes fruit,0.5714285714285714,0.3333333333333333,0.42105263157894735,12.0
kiwi fruit,0.5,0.07142857142857142,0.125,14.0
mango fruit,0.0,0.0,0.0,14.0
orange fruit,0.22857142857142856,0.8,0.35555555555555557,10.0
strawberry fruit,1.0,0.13333333333333333,0.23529411764705882,15.0
accuracy,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963
macro avg,0.45390386039473263,0.33686067019400356,0.25580965779624193,108.0
weighted avg,0.48959775481073664,0.2962962962962963,0.2400086317827976,108.0
