,precision,recall,f1-score,support
apple fruit,0.6153846153846154,0.8,0.6956521739130435,10.0
banana fruit,1.0,0.8571428571428571,0.9230769230769231,14.0
cherry fruit,0.875,0.7,0.7777777777777778,10.0
chickoo fruit,0.375,0.6666666666666666,0.48,9.0
grapes fruit,0.8,1.0,0.8888888888888888,12.0
kiwi fruit,1.0,0.9285714285714286,0.9629629629629629,14.0
mango fruit,0.6666666666666666,0.42857142857142855,0.5217391304347826,14.0
orange fruit,0.7777777777777778,0.7,0.7368421052631579,10.0
strawberry fruit,0.9230769230769231,0.8,0.8571428571428571,15.0
accuracy,0.7685185185185185,0.7685185185185185,0.7685185185185185,0.7685185185185185
macro avg,0.7814339981006648,0.7645502645502645,0.7604536466067103,108.0
weighted avg,0.8040380658436214,0.7685185185185185,0.7745873733703211,108.0
